industry,job_title,company_name,company_tier,location,base_salary,bonus_val,equity_val,signing_bonus,working_hours,years_exp,promotion_chance,remote_status
20,Consulting,Junior Data Consultant,Accenture,Public,Chicago IL,72000,8000,0,7000,48,1,Medium,Hybrid
21,Energy,Junior Petroleum Engineer,Chevron,Public,Houston TX,82000,8000,2000,8000,42,2,Medium,Onsite
22,Technology,Junior DevOps Engineer,HashiCorp,Late-Stage Startup,Austin TX,98000,9000,30000,12000,43,1,High,Remote
23,Finance,Junior Risk Analyst,Morgan Stanley,Public,New York NY,82000,10000,0,9000,50,1,Medium,Hybrid
24,Technology,Junior Product Manager,Airbnb,Public,San Francisco CA,110000,12000,20000,18000,45,2,High,Hybrid
25,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,58000,4000,500,3000,40,1,Low,Hybrid
26,Logistics,Supply Chain Analyst,FedEx,Public,Memphis TN,62000,5000,1000,4000,40,2,Medium,Onsite
27,Technology,Junior Security Engineer,CrowdStrike,Public,Austin TX,102000,10000,22000,14000,43,1,High,Remote
28,Healthcare,Junior Biostatistician,Moderna,Late-Stage Startup,Boston MA,88000,9000,25000,10000,43,2,High,Hybrid
29,Finance,Junior Investment Banker,Lazard,Public,New York NY,100000,35000,0,20000,75,1,High,Onsite
30,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,62000,6000,0,4000,40,1,Medium,Hybrid
31,Technology,Junior NLP Engineer,Cohere,Early-Stage Startup,San Francisco CA,120000,10000,85000,20000,47,1,High,Hybrid
32,Aerospace,Junior Systems Engineer,SpaceX,Private,Hawthorne CA,95000,8000,15000,10000,55,1,Medium,Onsite
33,Finance,Junior Equity Researcher,BlackRock,Public,New York NY,88000,14000,0,10000,55,1,High,Hybrid
34,Technology,Junior Cloud Engineer,Snowflake,Public,San Mateo CA,112000,10000,25000,16000,42,1,High,Remote
35,Technology,Software Engineer II,Meta,Public,Menlo Park CA,185000,45000,120000,50000,48,4,Medium,Hybrid
36,Finance,Senior Quantitative Analyst,Citadel,Hedge Fund,Chicago IL,220000,180000,0,75000,65,7,Medium,Onsite
37,Technology,Senior Machine Learning Engineer,Google,Public,Mountain View CA,210000,50000,150000,60000,47,6,Medium,Hybrid
38,Consulting,Senior Manager,Boston Consulting Group,Private,New York NY,175000,55000,0,40000,60,8,High,Hybrid
39,Healthcare,Senior Clinical Data Manager,Eli Lilly,Public,Indianapolis IN,105000,15000,8000,12000,43,6,Medium,Hybrid
40,Technology,Senior Backend Engineer,Databricks,Late-Stage Startup,San Francisco CA,195000,35000,200000,50000,47,5,High,Remote
41,Finance,Senior Risk Manager,Wells Fargo,Public,Charlotte NC,130000,22000,5000,15000,45,7,Medium,Hybrid
42,Engineering,Senior Electrical Engineer,Texas Instruments,Public,Dallas TX,118000,14000,10000,12000,42,6,Medium,Onsite
43,Technology,Senior Product Manager,DoorDash,Public,San Francisco CA,165000,30000,60000,40000,48,6,High,Hybrid
44,Energy,Senior Reservoir Engineer,ExxonMobil,Public,Houston TX,135000,18000,6000,15000,43,7,Low,Onsite
45,Technology,Senior Data Engineer,Palantir,Public,New York NY,155000,28000,45000,30000,50,5,Medium,Hybrid
46,Biotech,Senior Research Scientist,Genentech,Public,South San Francisco CA,145000,22000,30000,20000,44,6,Medium,Onsite
47,Finance,Senior Portfolio Manager,Bridgewater Associates,Hedge Fund,Westport CT,230000,200000,0,80000,60,9,Low,Onsite
48,Technology,Senior Site Reliability Engineer,LinkedIn,Public,Sunnyvale CA,185000,38000,90000,45000,46,5,Medium,Hybrid
49,Consulting,Senior Strategy Consultant,Bain & Company,Private,Boston MA,160000,48000,0,35000,58,7,High,Hybrid
50,Technology,Chief Technology Officer,Anduril Industries,Late-Stage Startup,Costa Mesa CA,300000,120000,2500000,150000,55,18,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Large Public,Chicago IL,115000,72000,15000,20000,55,2,High,Onsite
2,Finance,Junior Trader,Jane Street,Large Public,New York NY,120000,85000,10000,25000,60,1,High,Onsite
3,Technology,Junior Software Engineer,Google,Large Public,San Francisco CA,135000,18000,45000,30000,42,1,High,Hybrid
4,Technology,Junior Data Scientist,Meta,Large Public,New York NY,125000,16000,40000,25000,42,2,High,Hybrid
5,Finance,Junior Accountant,Deloitte,Large Public,Columbus OH,58000,6000,0,5000,42,1,Medium,Onsite
6,Technology,Junior Frontend Developer,Stripe,Late-Stage Startup,San Francisco CA,118000,12000,55000,20000,44,1,High,Hybrid
7,Healthcare,Junior Data Analyst,UnitedHealth Group,Large Public,Minneapolis MN,65000,7000,2000,5000,40,1,Medium,Hybrid
8,Technology,Junior Machine Learning Engineer,OpenAI,Late-Stage Startup,San Francisco CA,145000,20000,120000,35000,46,2,High,Hybrid
9,Finance,Junior Financial Analyst,Goldman Sachs,Large Public,New York NY,95000,38000,8000,15000,55,2,High,Onsite
10,Manufacturing,Junior Process Engineer,Caterpillar,Large Public,Peoria IL,68000,5000,1000,5000,40,1,Low,Onsite
11,Technology,Junior DevOps Engineer,Amazon,Large Public,Seattle WA,122000,14000,35000,25000,44,2,High,Hybrid
12,Finance,Junior Risk Analyst,JPMorgan Chase,Large Public,New York NY,90000,28000,5000,12000,50,2,High,Onsite
13,Technology,Junior iOS Developer,Robinhood,Late-Stage Startup,San Francisco CA,115000,10000,60000,18000,43,1,High,Remote
14,Consulting,Junior Management Consultant,McKinsey,Large Public,Chicago IL,95000,14000,0,10000,55,2,High,Onsite
15,Healthcare,Junior Biostatistician,Pfizer,Large Public,New York NY,82000,8000,3000,8000,40,2,Medium,Hybrid
16,Technology,Junior Backend Engineer,Snowflake,Late-Stage Startup,San Francisco CA,128000,15000,80000,22000,44,2,High,Hybrid
17,Energy,Junior Petroleum Engineer,ExxonMobil,Large Public,Houston TX,88000,12000,4000,10000,42,1,Low,Onsite
18,Technology,Junior QA Engineer,Salesforce,Large Public,San Francisco CA,98000,10000,20000,15000,40,2,Medium,Hybrid
19,Finance,Junior Compliance Analyst,Morgan Stanley,Large Public,New York NY,82000,18000,3000,10000,48,1,Medium,Onsite
20,Aerospace,Junior Aerospace Engineer,SpaceX,Late-Stage Startup,Hawthorne CA,95000,8000,40000,12000,55,2,Medium,Onsite
21,Technology,Junior Cybersecurity Analyst,Palo Alto Networks,Large Public,Santa Clara CA,105000,11000,18000,15000,42,1,High,Hybrid
22,Manufacturing,Junior Supply Chain Analyst,General Motors,Large Public,Detroit MI,62000,5000,1500,5000,40,1,Low,Hybrid
23,Technology,Junior AI Research Engineer,Anthropic,Early-Stage Startup,San Francisco CA,138000,18000,150000,30000,46,2,High,Hybrid
24,Finance,Junior Portfolio Analyst,Bridgewater Associates,Large Public,Westport CT,105000,55000,5000,18000,58,2,High,Onsite
25,Real Estate,Junior Real Estate Analyst,CBRE,Large Public,Dallas TX,62000,7000,1000,5000,40,1,Medium,Hybrid
26,Technology,Junior Data Engineer,Databricks,Late-Stage Startup,San Francisco CA,125000,13000,90000,20000,44,2,High,Remote
27,Legal,Junior Associate Attorney,Sullivan and Cromwell,Large Public,New York NY,215000,30000,0,20000,65,2,High,Onsite
28,Retail,Junior Merchandise Planner,Walmart,Large Public,Bentonville AR,52000,4000,1000,3000,40,1,Low,Onsite
29,Technology,Junior Embedded Systems Engineer,Tesla,Large Public,Austin TX,110000,12000,25000,18000,48,2,Medium,Onsite
30,Healthcare,Junior Clinical Data Analyst,Epic Systems,Large Public,Verona WI,68000,6000,500,5000,40,1,Medium,Onsite
31,Finance,Junior Hedge Fund Analyst,Two Sigma,Large Public,New York NY,125000,90000,12000,30000,58,2,High,Onsite
32,Technology,Junior Cloud Engineer,Microsoft,Large Public,Seattle WA,118000,13000,30000,20000,42,2,High,Hybrid
33,Consulting,Junior Strategy Consultant,Boston Consulting Group,Large Public,Boston MA,92000,13000,0,10000,55,2,High,Onsite
34,Biotech,Junior Research Scientist,Moderna,Large Public,Cambridge MA,85000,9000,8000,10000,42,2,Medium,Onsite
35,Technology,Mid-Level Software Engineer,Uber,Large Public,San Francisco CA,165000,25000,60000,30000,44,5,Medium,Hybrid
36,Finance,Senior Quantitative Researcher,DE Shaw,Large Public,New York NY,200000,220000,30000,50000,60,7,Medium,Onsite
37,Technology,Senior Machine Learning Engineer,DeepMind,Large Public,London UK,180000,30000,40000,35000,44,6,High,Hybrid
38,Consulting,Senior Management Consultant,Bain and Company,Large Public,Chicago IL,165000,35000,0,20000,55,7,High,Hybrid
39,Healthcare,Mid-Level Data Scientist,Optum,Large Public,Eden Prairie MN,115000,14000,5000,12000,42,4,Medium,Remote
40,Technology,Senior AI Researcher,OpenAI,Late-Stage Startup,San Francisco CA,225000,45000,300000,60000,48,8,High,Hybrid
41,Finance,Senior Risk Manager,Citigroup,Large Public,New York NY,175000,70000,15000,30000,50,8,Medium,Hybrid
42,Aerospace,Senior Systems Engineer,Lockheed Martin,Large Public,Fort Worth TX,145000,18000,8000,18000,44,7,Low,Onsite
43,Technology,Mid-Level Product Manager,Airbnb,Large Public,San Francisco CA,155000,22000,50000,25000,44,5,High,Hybrid
44,Biotech,Senior Computational Biologist,Genentech,Large Public,South San Francisco CA,160000,24000,20000,25000,44,7,Medium,Hybrid
45,Technology,Mid-Level Backend Engineer,Plaid,Late-Stage Startup,San Francisco CA,155000,18000,130000,28000,44,4,High,Remote
46,Finance,Mid-Level Investment Banker,Lazard,Large Public,New York NY,180000,120000,8000,40000,65,5,High,Onsite
47,Technology,Senior Data Engineer,Palantir,Large Public,New York NY,170000,28000,35000,30000,44,6,Medium,Hybrid
48,Energy,Senior Reservoir Engineer,Chevron,Large Public,Houston TX,155000,25000,10000,20000,44,8,Low,Onsite
49,Technology,Mid-Level Security Engineer,CrowdStrike,Large Public,Austin TX,140000,20000,28000,20000,44,5,Medium,Remote
50,Finance,Chief Investment Officer,BlackRock,Large Public,New York NY,450000,380000,200000,150000,50,22,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,115000,72000,8000,20000,55,2,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,145000,18000,95000,15000,42,1,High,Hybrid
3,Finance,Accounting Associate,Deloitte,Public,Cleveland OH,58000,6000,0,3000,42,1,Medium,Onsite
4,Technology,Junior Data Scientist,DataRobot,Series C,Boston MA,98000,12000,45000,10000,43,2,High,Hybrid
5,Healthcare,Medical Billing Specialist,Banner Health,Public,Phoenix AZ,46000,3500,0,2000,40,1,Low,Onsite
6,Finance,Junior Equity Researcher,Goldman Sachs,Public,New York NY,110000,55000,5000,18000,58,2,High,Onsite
7,Technology,Frontend Engineer I,Shopify,Public,Remote,105000,10000,30000,8000,40,1,Medium,Remote
8,Manufacturing,Junior Mechanical Engineer,Caterpillar,Public,Peoria IL,72000,5500,2000,4000,42,3,Medium,Onsite
9,Technology,Junior Machine Learning Engineer,OpenAI,Private,San Francisco CA,160000,25000,120000,20000,48,2,High,Hybrid
10,Finance,Investment Banking Analyst,Morgan Stanley,Public,New York NY,120000,90000,4000,25000,70,1,High,Onsite
11,Logistics,Supply Chain Coordinator,XPO Logistics,Public,Memphis TN,52000,4000,1000,2500,42,2,Low,Onsite
12,Technology,Junior DevOps Engineer,HashiCorp,Public,Austin TX,108000,11000,28000,9000,42,2,High,Remote
13,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,95000,10000,3000,8000,44,2,Medium,Onsite
14,Finance,Compliance Analyst,JPMorgan Chase,Public,New York NY,88000,12000,2000,7000,42,2,Low,Hybrid
15,Healthcare,Junior Clinical Data Analyst,UnitedHealth Group,Public,Minneapolis MN,72000,6000,2500,4000,40,1,Medium,Hybrid
16,Technology,AI Research Scientist I,DeepMind,Public,San Francisco CA,175000,45000,150000,30000,50,3,High,Hybrid
17,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,64000,7000,1000,3500,42,1,Medium,Hybrid
18,Finance,Junior Trader,Jane Street,Private,New York NY,130000,150000,15000,30000,60,2,High,Onsite
19,Manufacturing,Welding Engineer Entry Level,Lincoln Electric,Public,Cleveland OH,65000,4500,1500,3000,42,2,Medium,Onsite
20,Technology,Junior Product Manager,Airbnb,Public,San Francisco CA,128000,16000,55000,12000,43,2,High,Hybrid
21,Aerospace,Junior Aerospace Engineer,Lockheed Martin,Public,Fort Worth TX,82000,6000,2500,5000,42,2,Medium,Onsite
22,Technology,Junior Backend Engineer,Stripe,Private,San Francisco CA,150000,20000,85000,18000,44,2,High,Hybrid
23,Finance,Tax Associate,PwC,Public,Chicago IL,68000,7500,0,4000,45,1,Medium,Hybrid
24,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,62000,4000,500,2000,40,1,Low,Remote
25,Healthcare,Entry Level Pharmacist,CVS Health,Public,Nashville TN,108000,8000,1000,6000,40,1,Low,Onsite
26,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,95000,10000,22000,8000,42,2,High,Remote
27,Finance,Junior Risk Analyst,BlackRock,Public,New York NY,100000,22000,5000,10000,45,2,Medium,Hybrid
28,Biotech,Research Associate I,Moderna,Public,Boston MA,78000,8000,18000,6000,42,2,Medium,Onsite
29,Technology,Junior UX Designer,Figma,Private,San Francisco CA,118000,12000,40000,10000,40,1,Medium,Hybrid
30,Construction,Junior Civil Engineer,Bechtel,Private,Denver CO,74000,5500,1000,4000,44,2,Medium,Onsite
31,Technology,Data Engineer I,Snowflake,Public,San Mateo CA,138000,15000,65000,14000,42,3,High,Hybrid
32,Finance,Accounting Clerk,H&R Block,Public,Kansas City MO,42000,3000,0,1500,40,0,Low,Onsite
33,Retail,Junior Merchandise Planner,Target,Public,Minneapolis MN,60000,5000,1500,2500,40,1,Medium,Hybrid
34,Logistics,Junior Operations Analyst,FedEx,Public,Memphis TN,58000,4500,1000,3000,40,2,Medium,Onsite
35,Technology,Mid-Level Software Engineer,Google,Public,San Francisco CA,195000,35000,180000,30000,42,5,High,Hybrid
36,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,220000,200000,80000,50000,55,7,Medium,Onsite
37,Healthcare,Senior Data Scientist,Optum,Public,Minneapolis MN,148000,20000,15000,12000,42,6,Medium,Remote
38,Technology,Senior Machine Learning Engineer,Anthropic,Private,San Francisco CA,230000,50000,250000,40000,48,6,High,Hybrid
39,Finance,Senior Investment Analyst,Fidelity Investments,Public,Boston MA,135000,45000,8000,15000,48,5,Medium,Hybrid
40,Manufacturing,Senior Process Engineer,3M,Public,St. Paul MN,115000,14000,6000,8000,42,7,Medium,Onsite
41,Aerospace,Senior Systems Engineer,SpaceX,Private,Hawthorne CA,145000,20000,60000,15000,55,6,High,Onsite
42,Biotech,Senior Research Scientist,Genentech,Public,South San Francisco CA,165000,25000,30000,18000,44,7,Medium,Onsite
43,Technology,Senior Product Manager,Uber,Public,San Francisco CA,185000,40000,120000,25000,44,6,High,Hybrid
44,Energy,Senior Reservoir Engineer,Chevron,Public,Houston TX,148000,22000,8000,12000,44,8,Medium,Onsite
45,Real Estate,Senior Portfolio Manager,Blackstone,Public,New York NY,175000,85000,20000,20000,50,7,High,Onsite
46,Technology,Staff Software Engineer,Apple,Public,Cupertino CA,240000,60000,200000,50000,44,9,Medium,Hybrid
47,Finance,Vice President Credit Risk,Citigroup,Public,New York NY,190000,80000,12000,30000,52,8,Medium,Onsite
48,Technology,Principal Data Scientist,LinkedIn,Public,San Francisco CA,210000,45000,160000,35000,42,8,High,Hybrid
49,Consulting,Senior Management Consultant,McKinsey,Private,New York NY,195000,70000,5000,30000,60,6,High,Hybrid
50,Finance,Chief Investment Officer,Millennium Management,Private,New York NY,400000,600000,500000,100000,60,20,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,110000,62000,8000,20000,55,2,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,145000,18000,45000,15000,42,1,High,Hybrid
3,Healthcare,Medical Billing Specialist,Northwestern Medicine,Public,Chicago IL,48000,4000,0,2000,40,1,Low,Onsite
4,Technology,Junior Data Analyst,Palantir,Public,New York NY,98000,12000,22000,10000,44,2,Medium,Hybrid
5,Finance,Accounting Associate,Deloitte,Public,Columbus OH,58000,6000,0,3000,42,1,Medium,Hybrid
6,Technology,Junior iOS Developer,Snapchat,Public,Los Angeles CA,125000,14000,30000,12000,42,2,Medium,Hybrid
7,Logistics,Supply Chain Analyst,FedEx,Public,Memphis TN,54000,5000,1000,2500,40,1,Medium,Onsite
8,Technology,Junior Machine Learning Engineer,OpenAI,Startup,San Francisco CA,155000,25000,120000,20000,50,2,High,Hybrid
9,Finance,Junior Investment Banking Analyst,Goldman Sachs,Public,New York NY,110000,85000,5000,25000,80,1,High,Onsite
10,Retail,Store Associate,Walmart,Public,Bentonville AR,32000,1500,500,500,40,0,Low,Onsite
11,Technology,Junior DevOps Engineer,Cloudflare,Public,Austin TX,105000,10000,18000,8000,42,2,Medium,Remote
12,Healthcare,Clinical Research Coordinator,Mayo Clinic,Nonprofit,Rochester MN,52000,3500,0,2000,40,2,Medium,Onsite
13,Technology,Junior Frontend Engineer,Stripe,Startup,San Francisco CA,140000,16000,55000,18000,44,1,High,Hybrid
14,Finance,Equity Research Associate,Morgan Stanley,Public,New York NY,105000,70000,4000,20000,70,2,High,Onsite
15,Manufacturing,Junior Process Engineer,Caterpillar,Public,Peoria IL,72000,6000,2000,3000,40,2,Medium,Onsite
16,Technology,Junior Data Scientist,Databricks,Startup,San Francisco CA,148000,18000,80000,15000,45,2,High,Hybrid
17,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,65000,7000,1000,3000,40,1,Medium,Hybrid
18,Technology,Junior Backend Engineer,Amazon,Public,Seattle WA,135000,20000,40000,20000,44,1,High,Hybrid
19,Finance,Junior Trader,Jane Street,Private,New York NY,125000,110000,10000,30000,60,1,High,Onsite
20,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,88000,9000,3000,6000,40,2,Medium,Onsite
21,Technology,Junior QA Engineer,Salesforce,Public,San Francisco CA,105000,10000,20000,8000,40,1,Medium,Hybrid
22,Aerospace,Junior Systems Engineer,Lockheed Martin,Public,Fort Worth TX,82000,7000,2000,5000,40,2,Medium,Onsite
23,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,98000,10000,15000,8000,42,1,High,Remote
24,Healthcare,Junior Biostatistician,Pfizer,Public,New York NY,88000,10000,4000,6000,40,2,Medium,Hybrid
25,Finance,Junior Financial Analyst,JPMorgan Chase,Public,New York NY,85000,18000,3000,10000,45,1,Medium,Hybrid
26,Technology,Junior Product Manager,Figma,Startup,San Francisco CA,130000,15000,65000,12000,44,2,High,Hybrid
27,Education,Junior Curriculum Developer,Coursera,Startup,Remote,72000,5000,12000,3000,40,1,Medium,Remote
28,Technology,Junior Cloud Engineer,Microsoft,Public,Seattle WA,128000,14000,35000,15000,42,2,High,Hybrid
29,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,58000,4000,500,2000,40,1,Low,Hybrid
30,Logistics,Junior Operations Analyst,UPS,Public,Atlanta GA,56000,5000,1000,2000,40,1,Medium,Onsite
31,Technology,Junior AI Researcher,Anthropic,Startup,San Francisco CA,160000,30000,150000,25000,50,3,High,Hybrid
32,Finance,Junior Compliance Analyst,Charles Schwab,Public,Denver CO,68000,7000,2000,4000,40,1,Medium,Hybrid
33,Construction,Junior Civil Engineer,AECOM,Public,Phoenix AZ,70000,5500,1000,3000,40,2,Low,Onsite
34,Hospitality,Junior Hotel Manager,Marriott,Public,Orlando FL,52000,4000,500,1500,45,1,Low,Onsite
35,Technology,Senior Software Engineer,Stripe,Startup,San Francisco CA,195000,35000,180000,30000,45,7,High,Hybrid
36,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,220000,180000,25000,50000,60,8,Medium,Onsite
37,Technology,Senior Data Scientist,Google,Public,San Francisco CA,210000,40000,120000,40000,44,6,High,Hybrid
38,Healthcare,Senior Physician Scientist,Johns Hopkins,Nonprofit,Baltimore MD,185000,20000,0,15000,55,9,Low,Onsite
39,Finance,Senior Portfolio Manager,BlackRock,Public,New York NY,200000,140000,18000,40000,55,8,Medium,Hybrid
40,Technology,Senior Machine Learning Engineer,DeepMind,Public,San Francisco CA,230000,50000,140000,45000,48,7,High,Hybrid
41,Consulting,Senior Management Consultant,McKinsey,Private,New York NY,195000,80000,10000,35000,65,7,High,Hybrid
42,Aerospace,Senior Propulsion Engineer,SpaceX,Private,Hawthorne CA,155000,20000,60000,20000,55,8,Medium,Onsite
43,Technology,Senior Product Manager,Notion,Startup,San Francisco CA,185000,30000,200000,25000,45,6,High,Hybrid
44,Energy,Senior Reservoir Engineer,Chevron,Public,Houston TX,148000,22000,8000,15000,42,7,Medium,Hybrid
45,Finance,Senior Risk Analyst,Citadel,Public,Chicago IL,175000,120000,15000,30000,55,6,High,Onsite
46,Technology,Senior Platform Engineer,Airbnb,Public,San Francisco CA,205000,38000,100000,35000,44,7,High,Hybrid
47,Biotech,Senior Research Scientist,Moderna,Public,Cambridge MA,165000,25000,40000,20000,44,8,Medium,Onsite
48,Real Estate,Senior Asset Manager,Blackstone,Public,New York NY,190000,130000,15000,30000,50,8,High,Onsite
49,Technology,Senior Security Engineer,Palantir,Public,New York NY,200000,35000,80000,30000,46,7,Medium,Hybrid
50,Finance,Chief Investment Officer,Bridgewater Associates,Private,Westport CT,550000,600000,500000,150000,60,22,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,115000,72000,8000,20000,55,2,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,135000,15000,45000,10000,42,1,High,Hybrid
3,Finance,Junior Accountant,Deloitte,Public,Columbus OH,52000,6000,0,3000,40,1,Medium,Onsite
4,Healthcare,Medical Billing Specialist,MedStar Health,Private,Baltimore MD,44000,3500,0,2000,40,1,Low,Onsite
5,Technology,Junior Data Analyst,Palantir,Public,New York NY,98000,12000,18000,8000,45,2,High,Hybrid
6,Logistics,Junior Supply Chain Analyst,XPO Logistics,Public,Charlotte NC,54000,5000,1000,2500,40,1,Medium,Hybrid
7,Finance,Investment Banking Analyst,Goldman Sachs,Public,New York NY,110000,85000,5000,30000,80,2,High,Onsite
8,Technology,Junior Machine Learning Engineer,OpenAI,Startup,San Francisco CA,155000,20000,120000,25000,50,2,High,Hybrid
9,Retail,Junior Merchandising Analyst,Target,Public,Minneapolis MN,55000,5500,2000,2000,40,1,Medium,Hybrid
10,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,88000,10000,3000,8000,45,2,Medium,Onsite
11,Technology,Junior Frontend Developer,Shopify,Public,Remote,90000,9000,12000,6000,40,1,High,Remote
12,Finance,Junior Credit Analyst,JPMorgan Chase,Public,Chicago IL,78000,14000,2000,8000,45,2,Medium,Hybrid
13,Aerospace,Junior Mechanical Engineer,Boeing,Public,Seattle WA,82000,7000,2500,5000,40,2,Medium,Onsite
14,Technology,Junior QA Engineer,Salesforce,Public,San Francisco CA,95000,8000,10000,7000,40,1,Medium,Hybrid
15,Marketing,Junior Digital Marketing Specialist,HubSpot,Public,Boston MA,58000,5000,4000,3000,40,1,Medium,Hybrid
16,Finance,Junior Trader,Jane Street,Private,New York NY,130000,95000,10000,40000,60,2,High,Onsite
17,Biotech,Junior Research Scientist,Genentech,Public,San Francisco CA,92000,9000,8000,7000,45,2,Medium,Onsite
18,Technology,Junior DevOps Engineer,HashiCorp,Public,Remote,100000,10000,14000,7500,40,2,High,Remote
19,Construction,Junior Civil Engineer,Turner Construction,Private,Dallas TX,68000,5000,0,3000,40,1,Low,Onsite
20,Technology,Junior iOS Developer,Apple,Public,Cupertino CA,130000,14000,30000,10000,45,2,High,Hybrid
21,Finance,Junior Compliance Analyst,Wells Fargo,Public,Charlotte NC,62000,7000,1000,4000,40,1,Low,Hybrid
22,Gaming,Junior Game Developer,Riot Games,Private,Los Angeles CA,95000,9000,18000,8000,40,2,Medium,Hybrid
23,Technology,Junior Data Engineer,Snowflake,Public,San Mateo CA,120000,12000,35000,10000,42,2,High,Hybrid
24,Manufacturing,Junior Process Engineer,3M,Public,Saint Paul MN,71000,6000,2000,4000,40,1,Medium,Onsite
25,Legal,Junior Paralegal,Skadden Arps,Private,New York NY,62000,5000,0,3000,45,1,Low,Onsite
26,Technology,Junior Backend Engineer,Stripe,Private,San Francisco CA,140000,16000,80000,15000,45,2,High,Hybrid
27,Healthcare,Junior Clinical Data Analyst,UnitedHealth Group,Public,Minneapolis MN,64000,6000,2000,3500,40,1,Medium,Hybrid
28,Finance,Junior Actuary,Aon,Public,Chicago IL,75000,8000,1000,5000,40,2,Medium,Hybrid
29,Consulting,Junior Management Consultant,McKinsey,Private,New York NY,95000,20000,0,20000,60,2,High,Hybrid
30,Technology,Junior AI Research Engineer,Anthropic,Startup,San Francisco CA,160000,25000,150000,30000,50,2,High,Hybrid
31,Real Estate,Junior Property Analyst,CBRE,Public,Los Angeles CA,60000,5500,1000,3000,40,1,Low,Hybrid
32,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,52000,4000,500,2000,40,1,Low,Hybrid
33,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,88000,9000,12000,7000,40,2,Medium,Remote
34,Finance,Junior Risk Analyst,BlackRock,Public,New York NY,90000,18000,5000,10000,45,2,Medium,Hybrid
35,Technology,Senior Software Engineer,Google,Public,San Francisco CA,220000,45000,120000,50000,45,7,Medium,Hybrid
36,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,250000,220000,80000,75000,60,8,Medium,Onsite
37,Technology,Senior Machine Learning Engineer,DeepMind,Public,London UK,195000,35000,90000,40000,45,6,Medium,Hybrid
38,Consulting,Senior Strategy Consultant,Bain,Private,Chicago IL,175000,60000,5000,40000,55,6,High,Hybrid
39,Healthcare,Senior Biomedical Engineer,Medtronic,Public,Minneapolis MN,115000,14000,10000,12000,42,7,Medium,Hybrid
40,Finance,Senior Portfolio Manager,Vanguard,Public,Philadelphia PA,165000,55000,15000,25000,45,8,Medium,Hybrid
41,Technology,Senior Product Manager,Amazon,Public,Seattle WA,185000,40000,100000,30000,45,7,High,Hybrid
42,Energy,Senior Petroleum Engineer,Chevron,Public,Houston TX,145000,25000,10000,15000,45,8,Low,Onsite
43,Aerospace,Senior Propulsion Engineer,SpaceX,Private,Hawthorne CA,155000,20000,60000,20000,55,7,Medium,Onsite
44,Biotech,Senior Computational Biologist,Moderna,Public,Cambridge MA,148000,22000,30000,18000,45,7,Medium,Hybrid
45,Technology,Senior Security Engineer,Palo Alto Networks,Public,Santa Clara CA,200000,35000,75000,30000,45,7,Medium,Remote
46,Finance,Senior Investment Analyst,Bridgewater Associates,Private,Westport CT,190000,130000,20000,50000,60,8,Low,Onsite
47,Technology,Senior Data Scientist,Netflix,Public,Los Gatos CA,210000,40000,110000,35000,42,8,Medium,Hybrid
48,Legal,Senior Corporate Counsel,Microsoft,Public,Redmond WA,195000,35000,50000,30000,42,9,Low,Hybrid
49,Technology,Senior Platform Engineer,Databricks,Startup,San Francisco CA,215000,42000,180000,40000,45,7,High,Hybrid
50,Finance,Chief Investment Officer,Millennium Management,Private,New York NY,500000,900000,500000,200000,60,20,Low,Onsite
1,Finance,Junior Analyst,Goldman Sachs,Public,New York NY,95000,18000,0,10000,70,1,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,135000,15000,45000,20000,45,1,High,Hybrid
3,Finance,Junior Accountant,Deloitte,Public,Chicago IL,62000,7000,0,5000,45,1,Medium,Hybrid
4,Technology,Junior Data Analyst,DataViz Co,Startup,Austin TX,72000,5000,18000,5000,42,1,High,Remote
5,Healthcare,Medical Coder,HCA Healthcare,Public,Nashville TN,52000,4000,0,3000,40,2,Low,Onsite
